"rank","country","crimeIndex","pop2022"
"1","Venezuela","83.7600","28301696"
"2","Papua New Guinea","80.7900","10142619"
"3","South Africa","76.8600","59893885"
"4","Afghanistan","76.3100","41128771"
"5","Honduras","74.5400","10432860"
"6","Trinidad And Tobago","71.6300","1531044"
"7","Guyana","68.7400","808726"
"8","El Salvador","67.7900","6336392"
"9","Brazil","67.4900","215313498"
"10","Jamaica","67.4200","2827377"
"11","Syria","67.1800","22125249"
"12","Peru","66.7200","34049588"
"13","Angola","66.4800","35588987"
"14","Cameroon","65.2400","27914536"
"15","Namibia","65.2100","2567012"
"16","Nigeria","64.0600","218541212"
"17","Bangladesh","63.9000","171186372"
"18","Argentina","63.8200","45510318"
"19","Puerto Rico","62.8400","3252407"
"20","Bahamas","62.0600","409984"
"21","Libya","61.7800","6812341"
"22","Dominican Republic","61.0200","11228821"
"23","Kenya","60.1400","54027487"
"24","Belarus","59.5800","9534954"
"25","Zimbabwe","59.3000","16320537"
"26","Guatemala","58.6700","17843908"
"27","Bolivia","57.7700","12224110"
"28","Fiji","57.6200","929766"
"29","Malaysia","57.2900","33938221"
"30","Colombia","56.8700","51874024"
"31","Kyrgyzstan","56.8700","6630623"
"32","Uganda","56.1200","47249585"
"33","Somalia","56.0400","17597511"
"34","Mongolia","56.0100","3398366"
"35","Tanzania","56","65497748"
"36","Maldives","55.3400","523787.0000"
"37","Ecuador","55.2300","18001000"
"38","Costa Rica","54.2200","5180829"
"39","Mexico","54.1900","127504125"
"40","Kazakhstan","53.7700","19397998"
"41","Chile","53.4200","19603733"
"42","Botswana","52.9800","2630296"
"43","Algeria","52.0300","44903225"
"44","France","51.9900","64626628"
"45","Uruguay","51.7300","3422794"
"46","Cambodia","51.1300","16767842"
"47","Belize","50.3900","405272"
"48","Iran","49.3800","88550570"
"49","Paraguay","49.3700","6780744"
"50","Ethiopia","49.3000","123379924"
"51","Mauritius","48.8800","1299469"
"52","Morocco","48.6600","37457971"
"53","Iraq","48.4200","44496122"
"54","Sweden","48","10549347"
"55","Nicaragua","47.8900","6948392"
"56","United States","47.8100","338289857"
"57","Ukraine","47.4200","39701739"
"58","Ghana","46.9800","33475870.0000"
"59","Egypt","46.8300","110990103"
"60","Lebanon","46.7700","5489739"
"61","Myanmar","46.5100","54179306"
"62","Moldova","46.3500","3272996"
"63","Vietnam","46.1900","98186856"
"64","United Kingdom","46.0700","67508936"
"65","Indonesia","45.9300","275501339"
"66","Greece","45.8500","10384971"
"67","Ireland","45.5100","5023109"
"68","Panama","45.1500","4408581"
"69","Italy","44.8500","59037474"
"70","Belgium","44.5800","11655930"
"71","India","44.4300","1417173173"
"72","Palestine","43.7400","5250072"
"73","Tunisia","43.6900","12356117"
"74","Zambia","43.6200","20017675"
"75","Australia","43.0300","26177413"
"76","Bosnia And Herzegovina","42.9900","3233526"
"77","New Zealand","42.8800","5185288"
"78","Albania","42.5300","2842321"
"79","Pakistan","42.5100","235824862"
"80","Philippines","42.4600","115559009"
"81","Sudan","42.3400","46874204"
"82","Canada","41.8900","38454327"
"83","Sri Lanka","41.3900","21832143"
"84","Montenegro","41.1800","627082"
"85","Malta","40.3900","533286"
"86","Russia","39.9900","144713314"
"87","Jordan","39.9600","11285869"
"88","Turkey","39.6200","85341241"
"89","Thailand","39.3500","71697030"
"90","North Macedonia","39.1200","2093599.0000"
"91","Latvia","38.7700","1850651"
"92","Bulgaria","38.2100","6781953"
"93","Serbia","38.1000","7221365"
"94","Nepal","36.0100","30547580"
"95","Germany","35.7900","83369843"
"96","Hungary","34.3600","9967308"
"97","Luxembourg","34.1300","647599"
"98","Norway","33.7200","5434319"
"99","Uzbekistan","33.4200","34627652"
"100","Kuwait","33.4200","4268873"
"101","Lithuania","33.4200","2750055"
"102","Spain","33.3200","47558630"
"103","Azerbaijan","32.0200","10358074"
"104","Israel","31.4700","9038309"
"105","Cyprus","31.2800","1251488"
"106","Poland","30.5000","39857145"
"107","Slovakia","30.3700","5643453"
"108","China","30.1400","1425887337"
"109","Portugal","29.9100","10270865"
"110","Brunei","29","449002"
"111","Cuba","28.3300","11212191"
"112","Romania","28.3000","19659267"
"113","Singapore","27.9600","5975689"
"114","Finland","27.5900","5540745"
"115","Netherlands","27.1600","17564014"
"116","South Korea","26.6800","51815810"
"117","Denmark","26.2200","5882261"
"118","Bahrain","25.6400","1472233"
"119","Austria","25.5400","8939617"
"120","Czech Republic","25.5200","10493986"
"121","Saudi Arabia","25.2300","36408820"
"122","Rwanda","24.8900","13776698"
"123","Croatia","24.5900","4030358"
"124","Iceland","23.7500","372899"
"125","Estonia","23.7100","1326062"
"126","Georgia","23.3800","3744385"
"127","Armenia","22.7900","2780469"
"128","Slovenia","22.2800","2119844"
"129","Japan","22.1900","123951692"
"130","Hong Kong","22","7488865"
"131","Switzerland","21.6200","8740472"
"132","Oman","20.3400","4576298"
"133","Isle Of Man","19.2500","84519"
"134","Taiwan","15.4600","23893394"
"135","United Arab Emirates","15.2300","9441129"
"136","Qatar","12.1300","2695122"
