Region,Year,Rate
North East,2010-11,33
North East,2011-12,31
North East,2012-13,28
North East,2013-14,28
North East,2014-15,36
North East,2015-16,44
North East,2016-17,46
North East,2017-18,64
North East,2018-19,65
North East,2019-20,63
North East,2020-21,63
North West,2010-11,53
North West,2011-12,47
North West,2012-13,43
North West,2013-14,46
North West,2014-15,46
North West,2015-16,48
North West,2016-17,50
North West,2017-18,59
North West,2018-19,85
North West,2019-20,87
North West,2020-21,78
Yorkshire and the Humber,2010-11,56
Yorkshire and the Humber,2011-12,52
Yorkshire and the Humber,2012-13,49
Yorkshire and the Humber,2013-14,52
Yorkshire and the Humber,2014-15,55
Yorkshire and the Humber,2015-16,64
Yorkshire and the Humber,2016-17,79
Yorkshire and the Humber,2017-18,98
Yorkshire and the Humber,2018-19,105
Yorkshire and the Humber,2019-20,98
Yorkshire and the Humber,2020-21,83
East Midlands,2010-11,44
East Midlands,2011-12,42
East Midlands,2012-13,40
East Midlands,2013-14,43
East Midlands,2014-15,40
East Midlands,2015-16,43
East Midlands,2016-17,51
East Midlands,2017-18,61
East Midlands,2018-19,73
East Midlands,2019-20,78
East Midlands,2020-21,70
West Midlands,2010-11,95
West Midlands,2011-12,73
West Midlands,2012-13,52
West Midlands,2013-14,55
West Midlands,2014-15,55
West Midlands,2015-16,70
West Midlands,2016-17,81
West Midlands,2017-18,94
West Midlands,2018-19,108
West Midlands,2019-20,114
West Midlands,2020-21,102
East of England,2010-11,32
East of England,2011-12,27
East of England,2012-13,25
East of England,2013-14,26
East of England,2014-15,31
East of England,2015-16,38
East of England,2016-17,50
East of England,2017-18,57
East of England,2018-19,50
East of England,2019-20,64
East of England,2020-21,67
London,2010-11,152
London,2011-12,160
London,2012-13,126
London,2013-14,110
London,2014-15,104
London,2015-16,104
London,2016-17,137
London,2017-18,154
London,2018-19,155
London,2019-20,165
London,2020-21,113
South East,2010-11,27
South East,2011-12,25
South East,2012-13,22
South East,2013-14,21
South East,2014-15,22
South East,2015-16,29
South East,2016-17,38
South East,2017-18,46
South East,2018-19,51
South East,2019-20,51
South East,2020-21,49
South West,2010-11,36
South West,2011-12,32
South West,2012-13,26
South West,2013-14,26
South West,2014-15,28
South West,2015-16,29
South West,2016-17,38
South West,2017-18,38
South West,2018-19,48
South West,2019-20,53
South West,2020-21,49
,,
,,
,,
,,
,,
,,
,,
South West,2010-11,36
South West,2011-12,32
South West,2012-13,26
South West,2013-14,26
South West,2014-15,28
South West,2015-16,29
South West,2016-17,38
South West,2017-18,38
South West,2018-19,48
South West,2019-20,53
South West,2020-21,49
