Year,Sharp instrument,Shooting
1977,135,28
1978,163,35
1979,195,49
1980,151,17
1981,178,31
1982,191,46
1983,150,39
1984,187,61
1985,180,44
1986,220,47
1987,200,78
1988,189,42
1989,182,38
1990,178,59
1991,217,50
1992,218,52
1993,182,71
1994,231,63
1995,243,66
1996,197,47
1997,200,58
1998,202,52
1999,201,46
2000,212,61
2001,213,71
2002,261,96
2003,263,77
2004,242,67
2005,262,73
2006,226,50
2007,272,58
2008,268,53
2009,256,39
2010,210,41
2011,237,61
2012,208,40
2013,195,29
2014,203,29
2015,186,20
2016,212,24
2017,216,32
2018,281,27
2019,260,32
2020,275,30
