Year,Death,Deaths,,,,,,,,,,,,,,,],
1977,Shooting,28,,,,,,,,,,,,,,,,
1978,Shooting,35,,,,,,,,,,,,,,,,
1979,Shooting,49,,,,,,,,,,,,,,,,
1980,Shooting,17,,,,,,,,,,,,,,,,
1981,Shooting,31,,,,,,,,,,,,,,,,
1982,Shooting,46,,,,,,,,,,,,,,,,
1983,Shooting,39,,,,,,,,,,,,,,,,
1984,Shooting,61,,,,,,,,,,,,,,,,
1985,Shooting,44,,,,,,,,,,,,,,,,
1986,Shooting,47,,,,,,,,,,,,,,,,
1987,Shooting,78,,,,,,,,,,,,,,,,
1988,Shooting,42,,,,,,,,,,,,,,,,
1989,Shooting,38,,,,,,,,,,,,,,,,
1990,Shooting,59,,,,,,,,,,,,,,,,
1991,Shooting,50,,,,,,,,,,,,,,,,
1992,Shooting,52,,,,,,,,,,,,,,,,
1993,Shooting,71,,,,,,,,,,,,,,,,
1994,Shooting,63,,,,,,,,,,,,,,,,
1995,Shooting,66,,,,,,,,,,,,,,,,
1996,Shooting,47,,,,,,,,,,,,,,,,
1997,Shooting,58,,,,,,,,,,,,,,,,
1998,Shooting,52,,,,,,,,,,,,,,,,
1999,Shooting,46,,,,,,,,,,,,,,,,
2000,Shooting,61,,,,,,,,,,,,,,,,
2001,Shooting,71,,,,,,,,,,,,,,,,
2002,Shooting,96,,,,,,,,,,,,,,,,
2003,Shooting,77,,,,,,,,,,,,,,,,
2004,Shooting,67,,,,,,,,,,,,,,,,
2005,Shooting,73,,,,,,,,,,,,,,,,
2006,Shooting,50,,,,,,,,,,,,,,,,
2007,Shooting,58,,,,,,,,,,,,,,,,
2008,Shooting,53,,,,,,,,,,,,,,,,
2009,Shooting,39,,,,,,,,,,,,,,,,
2010,Shooting,41,,,,,,,,,,,,,,,,
2011,Shooting,61,,,,,,,,,,,,,,,,
2012,Shooting,40,,,,,,,,,,,,,,,,
2013,Shooting,29,,,,,,,,,,,,,,,,
2014,Shooting,29,,,,,,,,,,,,,,,,
2015,Shooting,20,,,,,,,,,,,,,,,,
2016,Shooting,24,,,,,,,,,,,,,,,,
2017,Shooting,32,,,,,,,,,,,,,,,,
2018,Shooting,27,,,,,,,,,,,,,,,,
2019,Shooting,32,,,,,,,,,,,,,,,,
2020,Shooting,30,,,,,,,,,,,,,,,,
1977,Knife,135,,,,,,,,,,,,,,,,
1978,Knife,163,,,,,,,,,,,,,,,,
1979,Knife,195,,,,,,,,,,,,,,,,
1980,Knife,151,,,,,,,,,,,,,,,,
1981,Knife,178,,,,,,,,,,,,,,,,
1982,Knife,191,,,,,,,,,,,,,,,,
1983,Knife,150,,,,,,,,,,,,,,,,
1984,Knife,187,,,,,,,,,,,,,,,,
1985,Knife,180,,,,,,,,,,,,,,,,
1986,Knife,220,,,,,,,,,,,,,,,,
1987,Knife,200,,,,,,,,,,,,,,,,
1988,Knife,189,,,,,,,,,,,,,,,,
1989,Knife,182,,,,,,,,,,,,,,,,
1990,Knife,178,,,,,,,,,,,,,,,,
1991,Knife,217,,,,,,,,,,,,,,,,
1992,Knife,218,,,,,,,,,,,,,,,,
1993,Knife,182,,,,,,,,,,,,,,,,
1994,Knife,231,,,,,,,,,,,,,,,,
1995,Knife,243,,,,,,,,,,,,,,,,
1996,Knife,197,,,,,,,,,,,,,,,,
1997,Knife,200,,,,,,,,,,,,,,,,
1998,Knife,202,,,,,,,,,,,,,,,,
1999,Knife,201,,,,,,,,,,,,,,,,
2000,Knife,212,,,,,,,,,,,,,,,,
2001,Knife,213,,,,,,,,,,,,,,,,
2002,Knife,261,,,,,,,,,,,,,,,,
2003,Knife,263,,,,,,,,,,,,,,,,
2004,Knife,242,,,,,,,,,,,,,,,,
2005,Knife,262,,,,,,,,,,,,,,,,
2006,Knife,226,,,,,,,,,,,,,,,,
2007,Knife,272,,,,,,,,,,,,,,,,
2008,Knife,268,,,,,,,,,,,,,,,,
2009,Knife,256,,,,,,,,,,,,,,,,
2010,Knife,210,,,,,,,,,,,,,,,,
2011,Knife,237,,,,,,,,,,,,,,,,
2012,Knife,208,,,,,,,,,,,,,,,,
2013,Knife,195,,,,,,,,,,,,,,,,
2014,Knife,203,,,,,,,,,,,,,,,,
2015,Knife,186,,,,,,,,,,,,,,,,
2016,Knife,212,,,,,,,,,,,,,,,,
2017,Knife,216,,,,,,,,,,,,,,,,
2018,Knife,281,,,,,,,,,,,,,,,,
2019,Knife,260,,,,,,,,,,,,,,,,
2020,Knife,275,,,,,,,,,,,,,,,,
