Borough,2021 Knife crime,AHC,Pop,,KnifeCrime
Westminster,606,36,204236,2.04236,296.7155643
Haringey,633,35,264238,2.64238,239.5567632
Hackney,501,29,259146,2.59146,193.3273136
Enfield,583,34,329984,3.29984,176.6752327
Lambeth,571,26,317654,3.17654,179.7553313
Tower Hamlets,537,39,310306,3.10306,173.0549844
Islington,383,22,216589,2.16589,176.8326185
Newham,523,36,351036,3.51036,148.9875682
Southwark,495,26,307637,3.07637,160.9039225
Barking & Dagenham,331,29,218869,2.18869,151.2320155
Croydon,519,23,390719,3.90719,132.8320353
Waltham Forest,375,27,278425,2.78425,134.6861812
Greenwich,371,24,289068,2.89068,128.343504
Camden,323,34,210136,2.10136,153.7099783
Ealing,421,30,367115,3.67115,114.6779619
Lewisham,381,35,300553,3.00553,126.7663274
Kensington & Chelsea,196,27,143375,1.43375,136.7044464
Hammersmith & Fulham,210,20,183157,1.83157,114.6557325
Brent,353,36,339816,3.39816,103.8797467
Wandsworth,324,34,327506,3.27506,98.92948526
Redbridge,315,27,310260,3.1026,101.5277509
Hounslow,258,29,288181,2.88181,89.52706806
Hillingdon,241,24,305909,3.05909,78.78159845
Merton,176,16,215187,2.15187,81.78932742
Sutton,168,18,209639,2.09639,80.13776063
Barnet,268,25,389344,3.89344,68.83373058
Harrow,170,26,261203,2.61203,65.08347913
Bexley,167,29,246472,2.46472,67.75617514
Havering,168,17,262052,2.62052,64.1094134
Bromley,180,17,329991,3.29991,54.54694219
Richmond upon Thames,94,19,195278,1.95278,48.13650283
Kingston upon Thames,93,23,168063,1.68063,55.33639171
