Borough,2021 Knife crime,AHC,Pop,,KnifeCrime,Region
Westminster,606,36,204236,2.04236,296.7155643,Central
Haringey,633,35,264238,2.64238,239.5567632,North
Hackney,501,29,259146,2.59146,193.3273136,North
Enfield,583,34,329984,3.29984,176.6752327,Central
Lambeth,571,26,317654,3.17654,179.7553313,East
Tower Hamlets,537,39,310306,3.10306,173.0549844,Central
Islington,383,22,216589,2.16589,176.8326185,Central
Newham,523,36,351036,3.51036,148.9875682,East
Southwark,495,26,307637,3.07637,160.9039225,Central
Barking and Dagenham,331,29,218869,2.18869,151.2320155,East
Croydon,519,23,390719,3.90719,132.8320353,South
Waltham Forest,375,27,278425,2.78425,134.6861812,East
Greenwich,371,24,289068,2.89068,128.343504,East
Camden,323,34,210136,2.10136,153.7099783,Central
Ealing,421,30,367115,3.67115,114.6779619,West
Lewisham,381,35,300553,3.00553,126.7663274,East
Kensington and Chelsea,196,27,143375,1.43375,136.7044464,Central
Hammersmith and Fulham,210,20,183157,1.83157,114.6557325,West
Brent,353,36,339816,3.39816,103.8797467,West
Wandsworth,324,34,327506,3.27506,98.92948526,South
Redbridge,315,27,310260,3.1026,101.5277509,East
Hounslow,258,29,288181,2.88181,89.52706806,West
Hillingdon,241,24,305909,3.05909,78.78159845,West
Merton,176,16,215187,2.15187,81.78932742,South
Sutton,168,18,209639,2.09639,80.13776063,South
Barnet,268,25,389344,3.89344,68.83373058,North
Harrow,170,26,261203,2.61203,65.08347913,West
Bexley,167,29,246472,2.46472,67.75617514,East
Havering,168,17,262052,2.62052,64.1094134,East
Bromley,180,17,329991,3.29991,54.54694219,South
Richmond upon Thames,94,19,195278,1.95278,48.13650283,West
Kingston upon Thames,93,23,168063,1.68063,55.33639171,South
