Borough,Crime,Poverty_AHC,Region,Population,divider,Crime/
Wandsworth,324,43,South,328367.00,3.28367,98.67008561
Tower Hamlets,537,39,East,312273.00,3.12273,171.9649153
Westminster,606,36,Central,205087.00,2.05087,295.4843554
Newham,523,36,East,350626.00,3.50626,149.1617849
Brent,353,36,West,338918.00,3.38918,104.1549873
Haringey,633,35,North,264130.00,2.6413,239.6547155
Lewisham,381,35,East,299810.00,2.9981,127.0804843
Enfield,583,34,North,329601.00,3.29601,176.8805313
Camden,323,34,Central,210390.00,2.1039,153.5244071
Ealing,421,30,West,366127.00,3.66127,114.9874224
Hackney,501,29,East,259956.00,2.59956,192.7249227
Barking and Dagenham,331,29,East,218534.00,2.18534,151.4638454
Hounslow,258,29,West,287940.00,2.8794,89.60200042
Bexley,167,29,East,246543.00,2.46543,67.73666257
Kensington and Chelsea,196,27.3,Central,143940.00,1.4394,136.1678477
Waltham Forest,375,27,East,278050.00,2.7805,134.8678295
Redbridge,315,27,East,309836.00,3.09836,101.6666882
Lambeth,571,26,Central,317498.00,3.17498,179.8436526
Southwark,495,26,Central,306374.00,3.06374,161.5672348
Harrow,170,26,West,260987.00,2.60987,65.13734401
Barnet,268,25,North,388639.00,3.88639,68.95859654
Greenwich,371,24,East,289254.00,2.89254,128.2609748
Hillingdon,241,24,West,304792.00,3.04792,79.07031681
Croydon,519,23,South,390506.00,3.90506,132.904488
Kingston upon Thames,93,23,South,167845.00,1.67845,55.40826358
Islington,383,22,Central,216767.00,2.16767,176.6874109
Hammersmith and Fulham,210,20,West,183295.00,1.83295,114.56941
Richmond upon Thames,94,19,West,195232.00,1.95232,48.14784462
Sutton,168,18,South,209517.00,2.09517,80.18442418
Havering,168,17,East,262022.00,2.62022,64.11675356
Bromley,180,17,South,329830.00,3.2983,54.5735682
Merton,176,16,South,215324.00,2.15324,81.73728892
