,Country,Knife-related Deaths (est.),100k,Poverty Rate (WB),Pov
1,Afghanistan,434.63,1.14,54.50%,54.5
2,Albania,7.92,0.29,14.30%,14.3
3,Algeria,56.73,0.14,5.50%,5.5
4,Angola,450.55,1.49,32.30%,32.3
5,Argentina,729.41,1.62,35.50%,35.5
6,Armenia,23.74,0.79,26.40%,26.4
7,Australia,118.08,0.48,12.40%,12.4
8,Austria,15.89,0.18,13.30%,13.3
9,Azerbaijan,82.28,0.8,6.00%,6
10,Bangladesh,489.35,0.31,24.30%,24.3
11,Belarus,210.89,2.22,5.00%,5
12,Belgium,41.4,0.36,14.80%,14.8
13,Benin,244.55,1.93,38.50%,38.5
14,Bhutan,1.41,0.19,8.20%,8.2
15,Bolivia,146.5,1.22,37.20%,37.2
16,Bosnia And Herzegovina,11.68,0.35,16.90%,16.9
17,Botswana,207.56,8.88,19.30%,19.3
18,Brazil,9885.38,4.56,26.50%,26.5
19,Bulgaria,46.64,0.67,23.80%,23.8
20,Burkina Faso,587.28,2.59,41.40%,41.4
21,Burundi,46.78,0.39,64.90%,64.9
22,Cambodia,238.09,1.43,17.70%,17.7
23,Cameroon,246.92,0.85,37.50%,37.5
24,Canada,177.38,0.49,11.60%,11.6
25,Central African Republic,180.88,3.41,62.00%,62
26,Chad,334.94,2.04,42.30%,42.3
27,Chile,380.97,2.09,8.60%,8.6
28,China,4590.04,0.32,0.60%,0.6
29,Colombia,3131.09,6.55,35.70%,35.7
30,Comoros,19.22,2.69,42.40%,42.4
31,Costa Rica,87.26,1.85,21.00%,21
32,Croatia,14.67,0.35,18.30%,18.3
33,Cyprus,3.86,0.29,14.70%,14.7
34,Czech Republic,34.47,0.32,10.10%,10.1
35,Denmark,12.61,0.22,12.50%,12.5
36,Djibouti,29.4,2.44,21.10%,21.1
37,Dominican Republic,435.56,4,21.00%,21
38,Dr Congo,1447.85,1.65,63.90%,63.9
39,Ecuador,515.24,2.93,25.00%,25
40,Egypt,87.69,0.09,32.50%,32.5
41,El Salvador,356.05,5.69,22.80%,22.8
42,Equatorial Guinea,28.38,2,76.80%,76.8
43,Eritrea,214.33,3.19,69.00%,69
44,Estonia,20.8,1.59,21.70%,21.7
45,Eswatini,106.37,9.31,58.90%,58.9
46,Ethiopia,1975.03,1.84,23.50%,23.5
47,Fiji,3.11,0.34,29.90%,29.9
48,Finland,30.39,0.55,12.20%,12.2
49,France,129.11,0.2,13.60%,13.6
50,Gabon,37.12,2.12,33.40%,33.4
51,Georgia,31.34,0.86,19.50%,19.5
52,Germany,194.23,0.23,14.80%,14.8
53,Ghana,260.51,0.08,23.40%,23.4
54,Greece,34.75,0.34,17.90%,17.9
55,Guatemala,548.22,3.08,59.30%,59.3
56,Guinea,266.74,2.11,43.70%,43.7
57,Guinea Bissau,50.71,2.67,69.30%,69.3
58,Haiti,885.53,7.14,58.50%,58.5
59,Honduras,653.73,6.66,48.30%,48.3
60,Hungary,39.53,0.41,12.30%,12.3
61,Iceland,0.79,0.23,8.80%,8.8
62,India,8930.89,0.64,21.90%,21.9
63,Indonesia,1065.38,0.41,9.40%,9.4
64,Iraq,242.43,0.58,18.90%,18.9
65,Ireland,7.89,0.16,13.10%,13.1
66,Israel,55.51,0.6,16.90%,16.9
67,Italy,112.85,0.19,20.10%,20.1
68,Ivory Coast,638.78,2.44,39.50%,39.5
69,Jamaica,80.54,2.87,19.90%,19.9
70,Japan,119.62,0.09,15.70%,15.7
71,Jordan,52.05,0.45,15.70%,15.7
72,Kazakhstan,713.41,3.88,4.30%,4.3
73,Kenya,1221.75,2.43,36.10%,36.1
74,Kiribati,1.49,1.25,21.80%,21.8
75,Kyrgyzstan,125.22,1.92,20.10%,20.1
76,Laos,276.64,3.86,18.30%,18.3
77,Latvia,47.52,2.48,22.90%,22.9
78,Lebanon,27.21,0.53,27.40%,27.4
79,Lesotho,342.56,16.38,49.70%,49.7
80,Liberia,35.17,0.73,50.90%,50.9
81,Lithuania,44.04,1.58,20.60%,20.6
82,Luxembourg,2.43,0.39,17.50%,17.5
83,Madagascar,142.91,0.54,70.70%,70.7
84,Malawi,81.5,0.44,51.50%,51.5
85,Malaysia,147.04,0.47,5.60%,5.6
86,Maldives,4.63,0.93,8.20%,8.2
87,Mali,788.25,3.6,42.10%,42.1
