Borough,Crime,Poverty_AHC,Region
Westminster,606,36,Central
Haringey,633,35,North
Hackney,501,29,East
Enfield,583,34,North
Lambeth,571,26,Central
Tower Hamlets,537,39,East
Islington,383,22,Central
Newham,523,36,East
Southwark,495,26,Central
Barking and Dagenham,331,29,East
Croydon,519,23,South
Waltham Forest,375,27,East
Greenwich,371,24,East
Camden,323,34,Central
Ealing,421,30,West
Lewisham,381,35,East
Kensington and Chelsea,196,27.3,Central
Hammersmith and Fulham,210,20,West
Brent,353,36,West
Wandsworth,324,43,South
Redbridge,315,27,East
Hounslow,258,29,West
Hillingdon,241,24,West
Merton,176,16,South
Sutton,168,18,South
Barnet,268,25,North
Harrow,170,26,West
Bexley,167,29,East
Havering,168,17,East
Bromley,180,17,South
Richmond upon Thames,94,19,West
Kingston upon Thames,93,23,South
