Date,GRA Purchases,PRGT 1/2/,Totals,Year,,,,,
08/31/2022,93769635059,15254184552,6.15E+00,2022,,,,,
12/31/2021,89474552025,14554823681,6.15E+00,2021,,,,,
12/31/2020,93408630285,12481816684,7.48E+00,2020,,,,,
12/31/2019,66945509865,6590835450,1.02E+01,2019,,,,,
12/31/2018,55395611392,6426181029,8.62E+00,2018,,,,,
12/31/2017,39585385873,6522280669,6.07E+00,2017,,,,,
12/31/2016,49267630851,6482647937,7.60E+00,2016,,,,,
12/31/2015,50757840741,6575911158,7.72E+00,2015,,,,,
12/31/2014,69041563463,6292755583,1.10E+01,2014,,,,,
12/31/2013,83899249061,6174392682,1.36E+01,2013,,,,,
12/31/2012,90042348252,5766292503,1.56E+01,2012,,,,,
12/31/2011,87276915790,5308609594,1.64E+01,2011,,,,,
12/31/2010,55620104510,4819344134,1.15E+01,2010,,,,,
12/31/2009,37221142436,5079705286,7.33E+00,2009,,,,,
12/31/2008,17514964723,3972372030,4.41E+00,2008,,,,,
12/31/2007,6036146757,3796945581,1.59E+00,2007,,,,,
12/31/2006,9822640239,3844020520,2.56E+00,2006,,,,,
12/31/2005,28432143237,6282121668,4.53E+00,2005,,,,,
12/31/2004,55373766674,6766029353,8.18E+00,2004,,,,,
12/31/2003,65032062712,6880893268,9.45E+00,2003,,,,,
12/31/2002,63601058794,6868671012,9.26E+00,2002,,,,,
12/31/2001,53477225409,6424578684,8.32E+00,2001,,,,,
12/31/2000,42990531049,6331595468,6.79E+00,2000,,,,,
12/31/1999,51061861875,6434274362,7.94E+00,1999,,,,,
12/31/1998,60451017051,6288825925,9.61E+00,1998,,,,,
12/31/1997,46559033783,6009867422,7.75E+00,1997,,,,,
12/31/1996,36127472805,5881609752,6.14E+00,1996,,,,,
12/31/1995,35929173412,5657438528,6.35E+00,1995,,,,,
12/31/1994,25611676952,4599768498,5.57E+00,1994,,,,,
12/31/1993,25196745031,3942792899,6.39E+00,1993,,,,,
12/31/1992,23967172718,3804463796,6.30E+00,1992,,,,,
12/31/1991,23378573926,3285717796,7.12E+00,1991,,,,,
12/31/1990,20731851093,2571911617,8.06E+00,1990,,,,,
12/31/1989,22315104224,2334886562,9.56E+00,1989,,,,,
12/31/1988,24750004884,1773964293,1.40E+01,1988,,,,,
12/31/1987,28751979125,1866342930,1.54E+01,1987,,,,,
12/31/1986,33334905644,2013169931,1.66E+01,1986,,,,,
12/31/1985,35194787249,2470247948,1.42E+01,1985,,,,,
12/31/1984,34936772393,2769874900,1.26E+01,1984,,,,,
