Date,GRA Purchases,PRGT 1/2/,,Year,,gdp,,,Totals,,,,,,,
08/31/2022,93769635059,15254184552,1.09E+11,2022,,3295.21297,3.29521E+12,3.31E-02,3.31E+00,,,,,,,
12/31/2021,89474552025,14554823681,1.04E+11,2021,,3186.859739,3.18686E+12,3.26E-02,3.26E+00,,,,,,,
12/31/2020,93408630285,12481816684,1.06E+11,2020,,2756.900214,2.7569E+12,3.84E-02,3.84E+00,,,,,,,
12/31/2019,66945509865,6590835450,73536345315,2019,,2878.673912,2.87867E+12,2.55E-02,2.55E+00,,,,,,,
12/31/2018,55395611392,6426181029,61821792421,2018,,2900.791443,2.90079E+12,2.13E-02,2.13E+00,,,,,,,
12/31/2017,39585385873,6522280669,46107666542,2017,,2699.016715,2.69902E+12,1.71E-02,1.71E+00,,,,,,,
12/31/2016,49267630851,6482647937,55750278788,2016,,2722.851958,2.72285E+12,2.05E-02,2.05E+00,,,,,,,
12/31/2015,50757840741,6575911158,57333751899,2015,,2956.573779,2.95657E+12,1.94E-02,1.94E+00,,,,,,,
12/31/2014,69041563463,6292755583,75334319046,2014,,3087.165603,3.08717E+12,2.44E-02,2.44E+00,,,,,,,
12/31/2013,83899249061,6174392682,90073641743,2013,,2803.291406,2.80329E+12,3.21E-02,3.21E+00,,,,,,,
12/31/2012,90042348252,5766292503,95808640755,2012,,2719.158341,2.71916E+12,3.52E-02,3.52E+00,,,,,,,
12/31/2011,87276915790,5308609594,92585525384,2011,,2674.891474,2.67489E+12,3.46E-02,3.46E+00,,,,,,,
12/31/2010,55620104510,4819344134,60439448644,2010,,2491.110093,2.49111E+12,2.43E-02,2.43E+00,,,,,,,
12/31/2009,37221142436,5079705286,42300847722,2009,,2425.798411,2.4258E+12,1.74E-02,1.74E+00,,,,,,,
12/31/2008,17514964723,3972372030,21487336753,2008,,2938.882353,2.93888E+12,7.31E-03,7.31E-01,,,,,,,
12/31/2007,6036146757,3796945581,9833092338,2007,,3106.182473,3.10618E+12,3.17E-03,3.17E-01,,,,,,,
12/31/2006,9822640239,3844020520,13666660759,2006,,2717.059798,2.71706E+12,5.03E-03,5.03E-01,,,,,,,
12/31/2005,28432143237,6282121668,34714264905,2005,,2544.829091,2.54483E+12,1.36E-02,1.36E+00,,,,,,,
12/31/2004,55373766674,6766029353,62139796027,2004,,2421.814354,2.42181E+12,2.57E-02,2.57E+00,,,,,,,
12/31/2003,65032062712,6880893268,71912955980,2003,,2057.093878,2.05709E+12,3.50E-02,3.50E+00,,,,,,,
12/31/2002,63601058794,6868671012,70469729806,2002,,1784.076739,1.78408E+12,3.95E-02,3.95E+00,,,,,,,
12/31/2001,53477225409,6424578684,59901804093,2001,,1643.908162,1.64391E+12,3.64E-02,3.64E+00,,,,,,,
12/31/2000,42990531049,6331595468,49322126517,2000,,1662.127402,1.66213E+12,2.97E-02,2.97E+00,,,,,,,
12/31/1999,51061861875,6434274362,57496136237,1999,,1685.762822,1.68576E+12,3.41E-02,3.41E+00,,,,,,,
12/31/1998,60451017051,6288825925,66739842976,1998,,1653.391852,1.65339E+12,4.04E-02,4.04E+00,,,,,,,
12/31/1997,46559033783,6009867422,52568901205,1997,,1559.569417,1.55957E+12,3.37E-02,3.37E+00,,,,,,,
12/31/1996,36127472805,5881609752,42009082557,1996,,1421.514821,1.42151E+12,2.96E-02,2.96E+00,,,,,,,
12/31/1995,35929173412,5657438528,41586611940,1995,,1346.422597,1.34642E+12,3.09E-02,3.09E+00,,,,,,,
12/31/1994,25611676952,4599768498,30211445450,1994,,1140.489746,1.14049E+12,2.65E-02,2.65E+00,,,,,,,
12/31/1993,25196745031,3942792899,29139537930,1993,,1061.388722,1.06139E+12,2.75E-02,2.75E+00,,,,,,,
12/31/1992,23967172718,3804463796,27771636514,1992,,1179.65953,1.17966E+12,2.35E-02,2.35E+00,,,,,,,
12/31/1991,23378573926,3285717796,26664291722,1991,,1142.797178,1.1428E+12,2.33E-02,2.33E+00,,,,,,,
12/31/1990,20731851093,2571911617,23303762710,1990,,1093.169389,1.09317E+12,2.13E-02,2.13E+00,,,,,,,
12/31/1989,22315104224,2334886562,24649990786,1989,,926.8848168,9.26885E+11,2.66E-02,2.66E+00,,,,,,,
12/31/1988,24750004884,1773964293,26523969177,1988,,910.1227321,9.10123E+11,2.91E-02,2.91E+00,,,,,,,
12/31/1987,28751979125,1866342930,30618322055,1987,,745.1626083,7.45163E+11,4.11E-02,4.11E+00,,,,,,,
12/31/1986,33334905644,2013169931,35348075575,1986,,601.4526532,6.01453E+11,5.88E-02,5.88E+00,,,,,,,
12/31/1985,35194787249,2470247948,37665035197,1985,,489.2851643,4.89285E+11,7.70E-02,7.70E+00,,,,,,,
12/31/1984,34936772393,2769874900,37706647293,1984,,461.4870976,4.61487E+11,8.17E-02,8.17E+00,,,,,,,
