Year,Club,Goals
1993,Arsenal,40
1994,Arsenal,53
1995,Arsenal,52
1996,Arsenal,49
1997,Arsenal,68
1998,Arsenal,68
1999,Arsenal,59
2000,Arsenal,73
2001,Arsenal,63
2002,Arsenal,79
2003,Arsenal,85
2004,Arsenal,73
2005,Arsenal,87
2006,Arsenal,72
2007,Arsenal,63
2008,Arsenal,74
2009,Arsenal,68
2010,Arsenal,83
2011,Arsenal,72
2012,Arsenal,74
2013,Arsenal,72
2014,Arsenal,68
2015,Arsenal,71
2016,Arsenal,65
2017,Arsenal,77
2018,Arsenal,74
2019,Arsenal,73
2020,Arsenal,56
2021,Arsenal,55
2022,Arsenal,61
1993,Chelsea,51
1994,Chelsea,49
1995,Chelsea,50
1996,Chelsea,46
1997,Chelsea,62
1998,Chelsea,71
1999,Chelsea,57
2000,Chelsea,53
2001,Chelsea,68
2002,Chelsea,66
2003,Chelsea,68
2004,Chelsea,67
2005,Chelsea,72
2006,Chelsea,68
2007,Chelsea,64
2008,Chelsea,65
2009,Chelsea,68
2010,Chelsea,103
2011,Chelsea,69
2012,Chelsea,65
2013,Chelsea,75
2014,Chelsea,71
2015,Chelsea,73
2016,Chelsea,59
2017,Chelsea,85
2018,Chelsea,62
2019,Chelsea,63
2020,Chelsea,69
2021,Chelsea,58
2022,Chelsea,76
1993,Liverpool,62
1994,Liverpool,62
1995,Liverpool,65
1996,Liverpool,70
1997,Liverpool,62
1998,Liverpool,68
1999,Liverpool,68
2000,Liverpool,51
2001,Liverpool,71
2002,Liverpool,67
2003,Liverpool,61
2004,Liverpool,55
2005,Liverpool,52
2006,Liverpool,57
2007,Liverpool,57
2008,Liverpool,67
2009,Liverpool,77
2010,Liverpool,61
2011,Liverpool,59
2012,Liverpool,47
2013,Liverpool,71
2014,Liverpool,101
2015,Liverpool,52
2016,Liverpool,63
2017,Liverpool,78
2018,Liverpool,84
2019,Liverpool,89
2020,Liverpool,85
2021,Liverpool,68
2022,Liverpool,94
1993,Manchester United,67
1994,Manchester United,80
1995,Manchester United,77
1996,Manchester United,73
1997,Manchester United,76
1998,Manchester United,73
1999,Manchester United,80
2000,Manchester United,97
2001,Manchester United,79
2002,Manchester United,87
2003,Manchester United,74
2004,Manchester United,64
2005,Manchester United,58
2006,Manchester United,72
2007,Manchester United,83
2008,Manchester United,80
2009,Manchester United,68
2010,Manchester United,86
2011,Manchester United,78
2012,Manchester United,89
2013,Manchester United,86
2014,Manchester United,64
2015,Manchester United,62
2016,Manchester United,49
2017,Manchester United,54
2018,Manchester United,68
2019,Manchester United,65
2020,Manchester United,66
2021,Manchester United,73
2022,Manchester United,57
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,2020,
,2021,
