,Player,Team,Rating
0,Joe Root,ENG,887
1,Marnus Labuschagne,AUS,885
2,Babar Azam,PAK,879
3,Steve Smith,AUS,848
4,Rishabh Pant,IND,801
5,Kane Williamson,NZ,786
6,Usman Khawaja,AUS,766
7,Dimuth Karunaratne,SL,748
8,Rohit Sharma,IND,746
9,Jonny Bairstow,ENG,719
10,Daryl Mitchell,NZ,715
11,Virat Kohli,IND,714
12,Litton Das,BAN,694
13,Travis Head,AUS,678
14,Dinesh Chandimal,SL,673
15,Mohammad Rizwan,PAK,670
16,David Warner,AUS,667
17,Dean Elgar,SA,665
18,Mushfiqur Rahim,BAN,662
19,Abdullah Shafique,PAK,657
20,Ben Stokes,ENG,655
21,Tom Blundell,NZ,654
22,Angelo Mathews,SL,654
23,Mayank Agarwal,IND,644
24,Azhar Ali,PAK,631
25,Tom Latham,NZ,622
26,Cheteshwar Pujara,IND,622
27,Kraigg Brathwaite,WI,619
28,Ollie Pope,ENG,614
29,Henry Nicholls,NZ,613
30,Abid Ali,PAK,610
31,Sean Williams,ZIM,603
32,Temba Bavuma,SA,602
33,Colin de Grandhomme,NZ,601
34,Devon Conway,NZ,594
35,Ravindra Jadeja,IND,590
36,Shreyas Iyer,IND,585
37,Jermaine Blackwood,WI,583
38,Ajinkya Rahane,IND,577
39,Cameron Green,AUS,576
40,Tamim Iqbal,BAN,572
41,Dhananjaya de Silva,SL,570
42,Shakib Al Hasan,BAN,570
43,Keegan Petersen,SA,569
44,Lokesh Rahul,IND,560
45,Rassie van der Dussen,SA,547
46,Fawad Alam,PAK,536
47,Zak Crawley,ENG,535
48,Niroshan Dickwella,SL,534
49,Imam-ul-Haq,PAK,523
50,Sikandar Raza,ZIM,523
51,Aiden Markram,SA,522
52,Nkruma Bonner,WI,516
53,Kusal Mendis,SL,516
54,Kyle Mayers,WI,511
55,Tim Paine,AUS,502
56,Hanuma Vihari,IND,501
57,Oshada Fernando,SL,500
58,Rory Burns,ENG,500
59,Alex Carey,AUS,497
60,Mahmudullah,BAN,488
61,Ibrahim Zadran,AFG,486
62,Jason Holder,WI,486
63,Shubman Gill,IND,482
64,Jos Buttler,ENG,466
65,Faheem Ashraf,PAK,465
66,Shan Masood,PAK,462
67,Pathum Nissanka,SL,461
68,Joshua Da Silva,WI,461
69,Ben Foakes,ENG,459
70,Matthew Wade,AUS,453
71,Mominul Haque,BAN,449
72,Joe Burns,AUS,449
73,Alex Lees,ENG,446
74,Shane Dowrich,WI,444
75,Sarel Erwee,SA,442
76,Kusal Perera,SL,439
77,John Campbell,WI,439
78,Washington Sundar,IND,433
79,Kyle Verreynne,SA,428
80,Regis Chakabva,ZIM,427
81,Lahiru Thirimanne,SL,419
82,Nurul Hasan,BAN,410
83,Dom Sibley,ENG,407
84,Jamie Overton,ENG,402
85,Chris Woakes,ENG,398
86,Ravichandran Ashwin,IND,398
87,Marcus Harris,AUS,398
88,Hashmatullah Shaidi,AFG,397
89,Kamindu Mendis,SL,396
90,Dawid Malan,ENG,395
91,Nazmul Shanto,BAN,395
92,Will Young,NZ,386
93,Shai Hope,WI,385
94,Rahmat Shah,AFG,377
95,Dan Lawrence,ENG,377
96,Haris Sohail,PAK,369
97,Shamarh Brooks,WI,369
98,Roston Chase,WI,369
99,Mitchell Starc,AUS,362
