"rank","country","density","densityMi","pop2022","area"
"1","Macau","21129.7264","54725.9915","695168","30"
"2","Monaco","18234.5000","47227.3550","36469","2"
"3","Singapore","8322.6866","21555.7584","5975689","710"
"4","Hong Kong","7132.2524","18472.5337","7488865","1104"
"5","Gibraltar","4801.3235","12435.4279","32649","6"
"6","Bahrain","1875.4561","4857.4312","1472233","765"
"7","Maldives","1745.9567","4522.0278","523787.0000","300"
"8","Malta","1666.5187","4316.2836","533286","316"
"9","Bangladesh","1315.0985","3406.1051","171186372","147570"
"10","Sint Maarten","1299.2647","3365.0956","44175","34"
"11","Bermuda","1188.5926","3078.4548","64184","54"
"12","Vatican City","1159.0909","3002.0455","510","1"
"13","Guernsey","1004.7778","2602.3744","63301","78"
"14","Jersey","923.1500","2390.9585","110778","116"
"15","Palestine","872.1050","2258.7519","5250072","6220"
"16","Mayotte","871.9278","2258.2930","326101","374"
"17","Taiwan","660.0932","1709.6414","23893394","36193"
"18","Barbados","654.9651","1696.3597","281635","430"
"19","Mauritius","640.1325","1657.9432","1299469","2040"
"20","Saint Martin","635.8200","1646.7738","31791","53"
"21","Nauru","633.4000","1640.5060","12668","21"
"22","Aruba","591.3611","1531.6253","106445","180"
"23","San Marino","561","1452.9900","33660","61"
"24","Rwanda","558.4393","1446.3578","13776698","26338"
"25","Lebanon","536.6314","1389.8753","5489739","10452"
"26","South Korea","530.8997","1375.0302","51815810","100210"
"27","Netherlands","521.6517","1351.0780","17564014","41850"
"28","Burundi","501.9305","1300.0001","12889576","27834"
"29","India","476.6507","1234.5254","1417173173","3287590"
"30","Comoros","449.6368","1164.5592","836774","1862"
"31","Saint Barthelemy","438.6800","1136.1812","10967","21"
"32","Curacao","430.5473","1115.1175","191163","444"
"33","Haiti","420.3554","1088.7206","11584996","27750"
"34","Israel","417.6668","1081.7569","9038309","20770"
"35","Reunion","387.7596","1004.2972","974052","2511"
"36","Philippines","387.5608","1003.7825","115559009","342353"
"37","Belgium","384.9382","996.9900","11655930","30528"
"38","Tuvalu","377.0667","976.6027","11312","26"
"39","Grenada","368.9353","955.5424","125438","344"
"40","Puerto Rico","366.6750","949.6882","3252407","8870"
