,#,Country (or dependency),Population (2020),Yearly Change
0,1,China,1439323776,0.39 %
1,2,India,1380004385,0.99 %
2,3,United States,331002651,0.59 %
3,4,Indonesia,273523615,1.07 %
4,5,Pakistan,220892340,2.00 %
5,6,Brazil,212559417,0.72 %
6,7,Nigeria,206139589,2.58 %
7,8,Bangladesh,164689383,1.01 %
8,9,Russia,145934462,0.04 %
9,10,Mexico,128932753,1.06 %
10,11,Japan,126476461,-0.30 %
11,12,Ethiopia,114963588,2.57 %
12,13,Philippines,109581078,1.35 %
13,14,Egypt,102334404,1.94 %
14,15,Vietnam,97338579,0.91 %
15,16,DR Congo,89561403,3.19 %
16,17,Turkey,84339067,1.09 %
17,18,Iran,83992949,1.30 %
18,19,Germany,83783942,0.32 %
19,20,Thailand,69799978,0.25 %
20,21,United Kingdom,67886011,0.53 %
21,22,France,65273511,0.22 %
22,23,Italy,60461826,-0.15 %
23,24,Tanzania,59734218,2.98 %
24,25,South Africa,59308690,1.28 %
25,26,Myanmar,54409800,0.67 %
26,27,Kenya,53771296,2.28 %
27,28,South Korea,51269185,0.09 %
28,29,Colombia,50882891,1.08 %
29,30,Spain,46754778,0.04 %
30,31,Uganda,45741007,3.32 %
31,32,Argentina,45195774,0.93 %
32,33,Algeria,43851044,1.85 %
33,34,Sudan,43849260,2.42 %
34,35,Ukraine,43733762,-0.59 %
35,36,Iraq,40222493,2.32 %
36,37,Afghanistan,38928346,2.33 %
37,38,Poland,37846611,-0.11 %
38,39,Canada,37742154,0.89 %
39,40,Morocco,36910560,1.20 %
40,41,Saudi Arabia,34813871,1.59 %
41,42,Uzbekistan,33469203,1.48 %
42,43,Peru,32971854,1.42 %
43,44,Angola,32866272,3.27 %
44,45,Malaysia,32365999,1.30 %
45,46,Mozambique,31255435,2.93 %
46,47,Ghana,31072940,2.15 %
47,48,Yemen,29825964,2.28 %
48,49,Nepal,29136808,1.85 %
49,50,Venezuela,28435940,-0.28 %
50,51,Madagascar,27691018,2.68 %
51,52,Cameroon,26545863,2.59 %
52,53,Côte d'Ivoire,26378274,2.57 %
53,54,North Korea,25778816,0.44 %
54,55,Australia,25499884,1.18 %
55,56,Niger,24206644,3.84 %
56,57,Taiwan,23816775,0.18 %
57,58,Sri Lanka,21413249,0.42 %
58,59,Burkina Faso,20903273,2.86 %
59,60,Mali,20250833,3.02 %
60,61,Romania,19237691,-0.66 %
61,62,Malawi,19129952,2.69 %
62,63,Chile,19116201,0.87 %
63,64,Kazakhstan,18776707,1.21 %
64,65,Zambia,18383955,2.93 %
65,66,Guatemala,17915568,1.90 %
66,67,Ecuador,17643054,1.55 %
67,68,Syria,17500658,2.52 %
