"Date","Price","Open","High","Low","Vol.","Change %"
"18/12/2022","1,209.66","1,187.17","1,229.00","1,152.53","1.45M","1.90%"
"11/12/2022","1,187.15","1,266.34","1,348.41","1,156.86","3.67M","-6.27%"
"04/12/2022","1,266.61","1,240.11","1,303.84","1,221.10","2.59M","2.11%"
"27/11/2022","1,240.44","1,205.23","1,304.93","1,151.99","3.28M","2.93%"
"20/11/2022","1,205.14","1,217.25","1,229.16","1,077.90","4.15M","-1.03%"
"13/11/2022","1,217.67","1,256.95","1,289.21","1,175.37","3.46M","-3.07%"
"06/11/2022","1,256.22","1,626.78","1,637.29","1,076.30","10.43M","-22.79%"
"30/10/2022","1,627.00","1,619.92","1,666.22","1,503.34","5.25M","0.46%"
"23/10/2022","1,619.61","1,314.04","1,660.00","1,301.77","5.93M","23.29%"
"16/10/2022","1,313.62","1,274.67","1,341.21","1,257.94","3.05M","3.03%"
"09/10/2022","1,274.93","1,315.28","1,342.04","1,196.64","3.59M","-3.05%"
"02/10/2022","1,315.05","1,311.79","1,382.99","1,266.93","3.36M","0.25%"
"25/09/2022","1,311.78","1,316.85","1,399.49","1,261.29","5.30M","-0.40%"
"18/09/2022","1,317.00","1,469.13","1,469.13","1,222.32","6.47M","-10.33%"
"11/09/2022","1,468.69","1,775.84","1,786.76","1,409.44","5.64M","-17.23%"
"04/09/2022","1,774.35","1,557.35","1,788.04","1,493.38","4.99M","13.92%"
"28/08/2022","1,557.57","1,491.07","1,647.58","1,424.49","5.89M","4.48%"
"21/08/2022","1,490.76","1,576.03","1,720.89","1,449.19","6.32M","-5.38%"
"14/08/2022","1,575.58","1,983.08","2,028.43","1,525.49","6.50M","-20.57%"
"07/08/2022","1,983.54","1,690.64","2,019.01","1,657.55","5.92M","17.33%"
"31/07/2022","1,690.56","1,697.31","1,753.41","1,559.54","6.11M","-0.31%"
"24/07/2022","1,695.79","1,548.90","1,781.37","1,357.70","9.13M","9.44%"
"17/07/2022","1,549.56","1,355.83","1,645.01","1,323.20","10.05M","14.28%"
"10/07/2022","1,355.97","1,217.12","1,399.56","1,012.57","10.02M","11.43%"
"03/07/2022","1,216.93","1,067.52","1,275.99","1,041.71","7.76M","14.09%"
"26/06/2022","1,066.62","1,242.64","1,276.78","1,000.89","8.48M","-14.11%"
"19/06/2022","1,241.80","994.81","1,255.68","938.34","10.28M","24.73%"
"12/06/2022","995.58","1,533.29","1,541.83","883.62","14.79M","-34.99%"
"05/06/2022","1,531.39","1,806.15","1,919.35","1,503.11","5.90M","-15.14%"
"29/05/2022","1,804.57","1,792.79","2,015.00","1,741.14","5.29M","0.69%"
"22/05/2022","1,792.22","1,974.80","2,086.17","1,707.56","5.72M","-9.26%"
"15/05/2022","1,975.16","2,056.48","2,161.29","1,903.70","4.42M","-3.95%"
"08/05/2022","2,056.34","2,635.54","2,641.71","1,800.00","10.42M","-21.99%"
"01/05/2022","2,636.02","2,728.62","2,963.50","2,588.99","4.02M","-3.34%"
"24/04/2022","2,727.10","2,931.49","3,032.35","2,715.95","3.45M","-6.99%"
"17/04/2022","2,931.94","3,061.34","3,176.64","2,887.77","2.98M","-4.15%"
"10/04/2022","3,058.82","3,259.73","3,305.97","2,951.78","2.83M","-6.17%"
"03/04/2022","3,260.00","3,446.00","3,579.96","3,143.57","3.43M","-5.30%"
"27/03/2022","3,442.29","3,144.50","3,529.92","3,126.39","3.24M","9.42%"
"20/03/2022","3,146.08","2,950.91","3,192.73","2,819.29","3.38M","6.66%"
"13/03/2022","2,949.67","2,567.87","2,984.00","2,494.59","8.97B","14.78%"
"06/03/2022","2,569.80","2,665.15","2,772.09","2,447.74","9.41B","-3.59%"
"27/02/2022","2,665.42","2,779.56","3,041.47","2,563.00","2.80B","-4.00%"
"20/02/2022","2,776.37","2,764.39","2,856.11","2,302.82","5.13M","0.46%"
"13/02/2022","2,763.76","2,915.72","3,193.04","2,700.13","2.87M","-5.25%"
"06/02/2022","2,916.88","3,016.80","3,276.46","2,858.57","3.06M","-3.21%"
"30/01/2022","3,013.48","2,600.91","3,058.84","2,478.70","3.33M","15.89%"
"23/01/2022","2,600.33","2,412.75","2,719.55","2,161.68","4.59M","7.79%"
"16/01/2022","2,412.48","3,326.25","3,387.99","2,314.30","3.53M","-27.51%"
"09/01/2022","3,328.08","3,080.01","3,407.33","2,932.51","2.44M","8.07%"
"02/01/2022","3,079.66","3,765.75","3,888.86","3,001.63","2.91M","-18.21%"
"26/12/2021","3,765.36","4,095.72","4,125.11","3,588.14","1.85M","-8.00%"
"19/12/2021","4,092.69","3,959.00","4,148.85","3,757.35","2.15M","3.36%"
"12/12/2021","3,959.77","4,089.38","4,173.15","3,648.77","3.06M","-2.83%"
"05/12/2021","4,075.23","4,123.56","4,482.76","3,837.15","3.74M","-1.04%"
"28/11/2021","4,118.06","4,094.97","4,778.00","3,561.06","3.85M","0.60%"
"21/11/2021","4,093.56","4,412.18","4,549.18","3,916.62","3.69M","-7.13%"
"14/11/2021","4,408.00","4,644.94","4,770.01","3,958.35","3.22M","-5.09%"
"07/11/2021","4,644.58","4,516.46","4,864.13","4,502.38","2.70M","2.82%"
"31/10/2021","4,517.27","4,327.99","4,661.14","4,158.07","2.73M","4.53%"
"24/10/2021","4,321.56","4,171.99","4,459.04","3,895.91","3.49M","3.66%"
"17/10/2021","4,168.78","3,829.47","4,365.70","3,666.11","3.36M","8.90%"
"10/10/2021","3,828.25","3,573.89","3,967.73","3,382.58","3.36M","7.11%"
"03/10/2021","3,574.23","3,390.74","3,668.14","3,272.33","3.15M","5.49%"
"26/09/2021","3,388.26","2,923.34","3,468.30","2,739.59","3.95M","15.96%"
"19/09/2021","2,921.91","3,435.60","3,455.36","2,662.50","5.22M","-14.97%"
"12/09/2021","3,436.22","3,261.32","3,672.93","3,117.75","3.13M","5.17%"
