Date,Price,Open,High,Low,Vol.,Change %
"Dec 18, 2022",1210.03,1187.19,1228.97,1152.54,1.57M,1.92%
"Dec 11, 2022",1187.18,1266.36,1348.43,1156.91,4.05M,-6.27%
"Dec 04, 2022",1266.62,1240.46,1303.92,1221.10,2.82M,2.11%
"Nov 27, 2022",1240.46,1205.17,1304.97,1151.98,3.49M,2.93%
"Nov 20, 2022",1205.15,1217.65,1229.20,1077.85,4.49M,-1.03%
"Nov 13, 2022",1217.65,1256.29,1289.21,1175.42,3.72M,-3.08%
"Nov 06, 2022",1256.29,1626.86,1637.44,1076.29,11.99M,-22.79%
"Oct 30, 2022",1627.07,1619.67,1666.17,1503.29,6.02M,0.46%
"Oct 23, 2022",1619.69,1313.64,1660.13,1301.80,6.73M,23.30%
"Oct 16, 2022",1313.64,1274.93,1341.21,1257.83,3.38M,3.07%
"Oct 09, 2022",1274.57,1315.08,1342.01,1196.63,4.06M,-3.08%
"Oct 02, 2022",1315.05,1311.80,1383.02,1266.86,3.97M,0.25%
"Sep 25, 2022",1311.80,1317.01,1399.67,1261.29,6.27M,-0.40%
"Sep 18, 2022",1317.00,1468.76,1469.21,1222.29,7.60M,-10.33%
"Sep 11, 2022",1468.79,1774.38,1786.73,1409.65,6.64M,-17.22%
"Sep 04, 2022",1774.38,1557.35,1788.10,1493.19,5.79M,13.92%
"Aug 28, 2022",1557.55,1490.88,1647.50,1424.33,6.68M,4.48%
"Aug 21, 2022",1490.83,1575.61,1720.84,1449.31,7.14M,-5.38%
"Aug 14, 2022",1575.60,1983.52,2028.40,1525.51,7.40M,-20.57%
"Aug 07, 2022",1983.50,1690.29,2018.97,1657.78,6.96M,17.35%
"Jul 31, 2022",1690.27,1695.99,1752.94,1560.17,7.25M,-0.34%
"Jul 24, 2022",1695.97,1549.61,1781.39,1357.70,10.80M,9.45%
"Jul 17, 2022",1549.61,1356.00,1644.99,1323.23,12.01M,14.27%
"Jul 10, 2022",1356.08,1216.94,1399.16,1012.29,11.73M,11.43%
"Jul 03, 2022",1216.94,1066.60,1275.69,1041.82,9.17M,14.10%
"Jun 26, 2022",1066.60,1241.80,1276.81,1000.77,10.28M,-14.11%
"Jun 19, 2022",1241.76,995.49,1255.55,938.24,12.50M,24.72%
"Jun 12, 2022",995.61,1531.50,1542.01,883.35,17.72M,-34.99%
"Jun 05, 2022",1531.42,1804.60,1919.40,1503.15,6.92M,-15.13%
"May 29, 2022",1804.37,1792.25,2015.02,1740.83,6.55M,0.65%
"May 22, 2022",1792.68,1975.12,2086.21,1708.62,6.88M,-9.24%
"May 15, 2022",1975.12,2056.33,2161.78,1903.67,5.27M,-3.95%
"May 08, 2022",2056.30,2636.03,2641.84,1796.24,12.96M,-21.99%
"May 01, 2022",2636.03,2727.20,2963.54,2589.29,4.88M,-3.34%
"Apr 24, 2022",2727.18,2931.90,3032.70,2716.31,4.36M,-6.98%
"Apr 17, 2022",2931.90,3058.96,3176.69,2887.25,3.67M,-4.15%
"Apr 10, 2022",3058.96,3259.59,3306.14,2951.80,3.72M,-6.15%
"Apr 03, 2022",3259.35,3442.34,3579.82,3143.96,4.36M,-5.32%
"Mar 27, 2022",3442.34,3145.95,3529.63,3126.46,3.92M,9.42%
"Mar 20, 2022",3146.01,2950.03,3192.73,2819.27,4.08M,6.65%
"Mar 13, 2022",2949.92,2569.80,2984.00,2494.59,8.97B,14.79%
"Mar 06, 2022",2569.80,2665.42,2772.09,2447.74,9.41B,-3.59%
"Feb 27, 2022",2665.42,2779.55,3041.84,2562.94,2.81B,-4.02%
"Feb 20, 2022",2776.96,2763.97,2856.01,2303.07,6.53M,0.48%
"Feb 13, 2022",2763.81,2917.16,3193.18,2699.70,3.63M,-5.25%
"Feb 06, 2022",2917.10,3013.75,3277.36,2858.85,3.93M,-3.21%
"Jan 30, 2022",3013.81,2600.12,3058.88,2478.85,4.51M,15.91%
"Jan 23, 2022",2600.02,2412.52,2719.32,2161.55,6.08M,7.77%
"Jan 16, 2022",2412.52,3326.50,3388.22,2311.80,4.86M,-27.50%
"Jan 09, 2022",3327.74,3079.89,3407.98,2931.68,3.54M,8.04%
"Jan 02, 2022",3080.02,3765.67,3889.07,3001.76,4.24M,-18.21%
"Dec 26, 2021",3765.67,4093.38,4125.22,3589.64,2.74M,-8.00%
"Dec 19, 2021",4093.14,3959.90,4149.17,3757.42,3.17M,3.37%
"Dec 12, 2021",3959.83,4078.17,4173.21,3649.69,4.52M,-2.84%
"Dec 05, 2021",4075.66,4118.27,4482.89,3836.92,5.12M,-1.16%
"Nov 28, 2021",4123.46,4095.16,4778.14,3533.02,5.20M,0.70%
"Nov 21, 2021",4094.80,4409.02,4549.74,3917.43,5.03M,-7.12%
"Nov 14, 2021",4408.85,4644.40,4769.38,3958.44,4.53M,-5.08%
"Nov 07, 2021",4644.61,4517.27,4864.06,4498.78,3.86M,2.82%
"Oct 31, 2021",4517.36,4322.00,4661.88,4157.51,3.71M,4.55%
"Oct 24, 2021",4320.65,4168.80,4458.30,3896.33,4.93M,3.64%
"Oct 17, 2021",4168.85,3827.55,4366.91,3664.63,4.80M,8.92%
"Oct 10, 2021",3827.55,3574.52,3967.43,3381.43,4.74M,7.09%
"Oct 03, 2021",3574.20,3388.83,3668.35,3273.22,5.38M,5.47%
"Sep 26, 2021",3388.97,2922.47,3467.95,2740.12,7.07M,15.96%
"Sep 19, 2021",2922.55,3435.92,3455.67,2659.71,9.60M,-14.94%
"Sep 12, 2021",3435.97,3267.33,3672.68,3118.66,5.35M,5.16%
"Sep 05, 2021",3267.33,3885.40,3981.22,3061.30,8.18M,-15.90%
"Aug 29, 2021",3884.97,3243.96,4024.89,3145.53,7.84M,19.76%
"Aug 22, 2021",3243.90,3224.17,3375.42,3057.48,5.48M,0.62%
"Aug 15, 2021",3223.96,3264.56,3334.22,2951.04,5.70M,-1.25%
